user,fullname,tweet-id,timestamp,url,likes,replies,retweets,text,html
JacloPac,JacloPac,818245902057893889,2017-01-08 23:59:59,/JacloPac/status/818245902057893889,7,1,4,"#Trump's cabinet's proof, with him It's all an ego-driven tactic to make himself look more competent. ""#Failing""pic.twitter.com/V9qwRY5RO4","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Trump?src=hash""><s>#</s><b><strong>Trump</strong></b></a>'s cabinet's proof, with him It's all an ego-driven tactic to make himself look more competent. ""<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Failing?src=hash""><s>#</s><b>Failing</b></a>""<a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/V9qwRY5RO4"">pic.twitter.com/V9qwRY5RO4</a></p>"
doctornoc,Doctornoc,818245901982568449,2017-01-08 23:59:59,/doctornoc/status/818245901982568449,0,0,0,Trump is in bed with them,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><strong>Trump</strong> is in bed with them</p>"
ScarlattiBomba,Scarlatti Bombatti/GAB.ai Scarlatti Bombatti,818245901403701249,2017-01-08 23:59:59,/ScarlattiBomba/status/818245901403701249,0,0,0,arent they all @netanyahue?@geertwilderspvv @realDonaldTrump #WALLthemÌN! http://www.jerusalemonline.com/news/in-israel/local/the-terrorist-is-an-isis-supporter-25820 …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">arent they all <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""4865936601"" dir=""ltr"" href=""/NetanyahuE""><s>@</s><b>netanyahue</b></a>?<a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""41778159"" dir=""ltr"" href=""/geertwilderspvv""><s>@</s><b>geertwilderspvv</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""25073877"" dir=""ltr"" href=""/realDonaldTrump""><s>@</s><b><strong>realDonaldTrump</strong></b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/WALLthem%C3%8CN?src=hash""><s>#</s><b>WALLthemÌN</b></a>! <a class=""twitter-timeline-link"" data-expanded-url=""http://www.jerusalemonline.com/news/in-israel/local/the-terrorist-is-an-isis-supporter-25820"" dir=""ltr"" href=""https://t.co/XvFzCdBxqd"" rel=""nofollow noopener"" target=""_blank"" title=""http://www.jerusalemonline.com/news/in-israel/local/the-terrorist-is-an-isis-supporter-25820""><span class=""tco-ellipsis""></span><span class=""invisible"">http://www.</span><span class=""js-display-url"">jerusalemonline.com/news/in-israel</span><span class=""invisible"">/local/the-terrorist-is-an-isis-supporter-25820</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>"
lizzydebbie,Lizzy C,818245901374390273,2017-01-08 23:59:59,/lizzydebbie/status/818245901374390273,0,0,0,TRUMP JUST PISSED OFF RICHEST MAN IN AMERICA WITH PERFECT KICK IN THE ASS! https://youtu.be/iatstwrN46Y  via @YouTube,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><strong>TRUMP</strong> JUST PISSED OFF RICHEST MAN IN AMERICA WITH PERFECT KICK IN THE ASS! <a class=""twitter-timeline-link"" data-expanded-url=""https://youtu.be/iatstwrN46Y"" dir=""ltr"" href=""https://t.co/nxLCGhdPBw"" rel=""nofollow noopener"" target=""_blank"" title=""https://youtu.be/iatstwrN46Y""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">youtu.be/iatstwrN46Y</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> via <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""10228272"" dir=""ltr"" href=""/YouTube""><s>@</s><b>YouTube</b></a></p>"
fit_4_Him,Dwayne Lawrence,818245899906412545,2017-01-08 23:59:59,/fit_4_Him/status/818245899906412545,0,0,0,"Bobby Rainey ""you're fired"" trump voice. #NYGvsGB","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Bobby Rainey ""you're fired"" <strong>trump</strong> voice. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/NYGvsGB?src=hash""><s>#</s><b>NYGvsGB</b></a></p>"
roni1854,Roni1854,818245899298095104,2017-01-08 23:59:59,/roni1854/status/818245899298095104,0,0,0,Isn't communication between two people having a conversation.  Not Trump Tweeting at us?  Does he read replies?,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Isn't communication between two people having a conversation.  Not <strong>Trump</strong> Tweeting at us?  Does he read replies?</p>"
Chuckw12,chuckw12,818245898224410624,2017-01-08 23:59:59,/Chuckw12/status/818245898224410624,1,0,0,Trump Destroying America Huge Chunks at a time.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><strong>Trump</strong> Destroying America Huge Chunks at a time.</p>"
natukane,ナツカ,818245896697589760,2017-01-08 23:59:58,/natukane/status/818245896697589760,0,0,0,ヴァンパイアハンンターは人間なはずだからスペクターからそう時間がたたないうちにTRUMPがあるわけか～,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ja"">ヴァンパイアハンンターは人間なはずだからスペクターからそう時間がたたないうちに<strong>TRUMP</strong>があるわけか～</p>"
TheRealSatchi,Satchi Hover,818245896077004801,2017-01-08 23:59:58,/TheRealSatchi/status/818245896077004801,0,1,0,What the fuck did you expect? hahahaha.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">What the fuck did you expect? hahahaha.</p>"
bgsontag,Brenda Sontag,818245895749861376,2017-01-08 23:59:58,/bgsontag/status/818245895749861376,1,0,0,Trump Sets Private Prisons Free http://www.newyorker.com/magazine/2016/12/05/trump-sets-private-prisons-free?mbid=amp_tw … via @newyorker,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><strong>Trump</strong> Sets Private Prisons Free <a class=""twitter-timeline-link"" data-expanded-url=""http://www.newyorker.com/magazine/2016/12/05/trump-sets-private-prisons-free?mbid=amp_tw"" dir=""ltr"" href=""https://t.co/5PRCpjvBiH"" rel=""nofollow noopener"" target=""_blank"" title=""http://www.newyorker.com/magazine/2016/12/05/trump-sets-private-prisons-free?mbid=amp_tw""><span class=""tco-ellipsis""></span><span class=""invisible"">http://www.</span><span class=""js-display-url"">newyorker.com/magazine/2016/</span><span class=""invisible"">12/05/trump-sets-private-prisons-free?mbid=amp_tw</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a> via <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""14677919"" dir=""ltr"" href=""/NewYorker""><s>@</s><b>newyorker</b></a></p>"
