,positive,negative,neutral,compound
2018-10-06,0.13,0.05,0.82,0.21
2018-10-07,0.15,0.03,0.82,0.43
2018-10-08,0.08,0.03,0.89,0.17
2018-10-09,0.11,0.06,0.83,0.23
2018-10-10,0.1,0.05,0.85,0.2
2018-10-11,0.08,0.08,0.84,0.03
2018-10-12,0.09,0.05,0.85,0.15
2018-10-13,0.13,0.07,0.81,0.16
2018-10-14,0.11,0.07,0.82,0.08
2018-10-15,0.11,0.09,0.8,0.14
2018-10-16,0.11,0.07,0.83,0.24
2018-10-17,0.12,0.06,0.81,0.17
2018-10-18,0.13,0.06,0.82,0.23
2018-10-19,0.11,0.04,0.85,0.28
2018-10-20,0.09,0.1,0.81,-0.08
2018-10-21,0.07,0.05,0.87,0.06
2018-10-22,0.1,0.05,0.86,0.21
2018-10-23,0.06,0.1,0.84,-0.21
2018-10-24,0.09,0.04,0.87,0.18
2018-10-25,0.12,0.05,0.83,0.28
2018-10-26,0.1,0.05,0.85,0.26
2018-10-27,0.14,0.06,0.8,0.28
2018-10-28,0.17,0.04,0.79,0.37
2018-10-29,0.12,0.03,0.85,0.36
2018-10-30,0.12,0.04,0.83,0.31
2018-10-31,0.11,0.09,0.81,0.02
2018-11-01,0.08,0.04,0.88,0.13
2018-11-02,0.07,0.06,0.87,-0.01
2018-11-03,0.19,0.02,0.79,0.53
2018-11-04,0.11,0.06,0.83,0.21
2018-11-05,0.18,0.01,0.81,0.68
2018-11-06,0.11,0.06,0.84,0.15
2018-11-07,0.11,0.05,0.84,0.26
2018-11-08,0.1,0.07,0.84,0.2
2018-11-09,0.16,0.04,0.8,0.39
2018-11-10,0.1,0.07,0.83,0.05
2018-11-11,0.19,0.02,0.8,0.66
2018-11-12,0.1,0.09,0.81,0.09
2018-11-13,0.11,0.06,0.83,0.12
2018-11-14,0.14,0.06,0.8,0.25
2018-11-15,0.1,0.05,0.85,0.26
2018-11-16,0.1,0.08,0.82,0.09
2018-11-17,0.09,0.04,0.87,0.2
2018-11-18,0.11,0.08,0.82,0.13
2018-11-19,0.11,0.05,0.84,0.17
2018-11-20,0.1,0.02,0.88,0.35
2018-11-21,0.09,0.04,0.87,0.17
2018-11-22,0.08,0.03,0.89,0.18
2018-11-23,0.11,0.06,0.84,0.23
2018-11-24,0.08,0.1,0.82,-0.15
2018-11-25,,,,
2018-11-26,,,,
2018-11-27,0.12,0.05,0.84,0.27
2018-11-28,0.09,0.06,0.85,0.14
