,positive,negative,neutral,compound
2018-08-01,,,,
2018-08-02,0.09,0.02,0.9,0.97
2018-08-03,0.05,0.03,0.92,0.17
2018-08-04,,,,
2018-08-05,,,,
2018-08-06,0.09,0.05,0.86,0.68
2018-08-07,,,,
2018-08-08,0.06,0.05,0.89,0.32
2018-08-09,,,,
2018-08-10,0.06,0.02,0.92,0.97
2018-08-11,0.07,0.01,0.92,0.88
2018-08-12,0.15,0.02,0.83,0.97
2018-08-13,0.09,0.03,0.88,0.68
2018-08-14,0.1,0.02,0.88,0.94
2018-08-15,0.07,0.01,0.92,0.84
2018-08-16,,,,
2018-08-17,0.09,0.0,0.91,0.95
2018-08-18,,,,
2018-08-19,,,,
2018-08-20,0.09,0.03,0.89,0.97
2018-08-21,,,,
2018-08-22,,,,
2018-08-23,,,,
2018-08-24,,,,
2018-08-25,,,,
2018-08-26,,,,
2018-08-27,0.09,0.02,0.88,0.93
2018-08-28,,,,
2018-08-29,0.06,0.02,0.92,0.91
2018-08-30,,,,
2018-08-31,,,,
2018-09-01,0.04,0.0,0.96,0.77
2018-09-02,0.13,0.02,0.86,0.86
2018-09-03,0.08,0.04,0.88,0.43
2018-09-04,0.11,0.0,0.89,0.98
2018-09-05,0.09,0.03,0.88,0.89
2018-09-06,,,,
2018-09-07,0.06,0.01,0.92,0.89
2018-09-08,0.07,0.02,0.9,0.99
2018-09-09,,,,
2018-09-10,0.09,0.03,0.88,0.86
2018-09-11,0.1,0.03,0.87,0.98
2018-09-12,,,,
2018-09-13,,,,
2018-09-14,0.1,0.01,0.89,0.96
2018-09-15,0.11,0.01,0.87,0.87
2018-09-16,,,,
2018-09-17,,,,
2018-09-18,,,,
2018-09-19,,,,
2018-09-20,0.18,0.01,0.81,0.99
2018-09-21,0.08,0.02,0.91,0.81
2018-09-22,0.09,0.04,0.88,0.53
2018-09-23,0.06,0.07,0.87,-0.59
2018-09-24,0.11,0.04,0.85,0.93
2018-09-25,0.11,0.03,0.86,0.66
2018-09-26,0.04,0.01,0.96,0.86
2018-09-27,,,,
2018-09-28,0.06,0.0,0.93,0.92
2018-09-29,,,,
2018-09-30,0.05,0.01,0.94,0.58
2018-10-01,,,,
2018-10-02,,,,
2018-10-03,,,,
2018-10-04,,,,
2018-10-05,0.08,0.02,0.9,0.87
2018-10-06,,,,
2018-10-07,,,,
2018-10-08,0.07,0.02,0.91,0.88
2018-10-09,,,,
2018-10-10,0.09,0.06,0.85,0.0
2018-10-11,0.11,0.02,0.88,0.98
2018-10-12,,,,
2018-10-13,,,,
2018-10-14,,,,
2018-10-15,,,,
2018-10-16,0.1,0.02,0.88,0.98
2018-10-17,,,,
2018-10-18,0.04,0.0,0.96,0.89
2018-10-19,,,,
2018-10-20,,,,
2018-10-21,,,,
2018-10-22,,,,
2018-10-23,0.08,0.02,0.9,0.96
2018-10-24,,,,
2018-10-25,0.09,0.01,0.9,0.94
2018-10-26,0.1,0.04,0.87,0.85
2018-10-27,,,,
2018-10-28,,,,
2018-10-29,0.0,0.0,1.0,0.0
2018-10-30,0.1,0.06,0.85,-0.0
2018-10-31,0.02,0.15,0.84,-0.98
2018-11-01,,,,
2018-11-02,,,,
2018-11-03,,,,
2018-11-04,0.05,0.0,0.95,0.88
2018-11-05,,,,
2018-11-06,0.08,0.07,0.85,0.1
2018-11-07,,,,
2018-11-08,,,,
2018-11-09,0.08,0.01,0.92,0.95
2018-11-10,0.13,0.03,0.84,0.99
2018-11-11,,,,
2018-11-12,0.12,0.01,0.87,0.99
2018-11-13,0.1,0.02,0.88,0.88
2018-11-14,0.1,0.04,0.86,0.94
2018-11-15,0.12,0.0,0.88,0.99
2018-11-16,0.17,0.01,0.82,1.0
2018-11-17,,,,
2018-11-18,,,,
2018-11-19,0.07,0.04,0.89,0.68
2018-11-20,,,,
2018-11-21,0.12,0.1,0.78,0.66
2018-11-22,,,,
2018-11-23,,,,
2018-11-24,,,,
2018-11-25,,,,
2018-11-26,,,,
2018-11-27,,,,
2018-11-28,0.07,0.01,0.92,0.93
2018-11-29,0.15,0.01,0.84,0.99
2018-11-30,0.05,0.05,0.9,0.25
2018-12-01,,,,
2018-12-02,0.12,0.02,0.86,0.96
2018-12-03,0.14,0.02,0.84,0.98
2018-12-04,,,,
2018-12-05,,,,
2018-12-06,0.09,0.0,0.91,0.96
2018-12-07,0.05,0.07,0.88,-0.91
2018-12-08,,,,
2018-12-09,,,,
2018-12-10,,,,
2018-12-11,0.1,0.02,0.89,0.98
2018-12-12,0.08,0.01,0.91,0.98
2018-12-13,0.06,0.02,0.93,0.97
2018-12-14,,,,
2018-12-15,,,,
2018-12-16,,,,
2018-12-17,0.12,0.03,0.85,0.95
2018-12-18,0.06,0.08,0.87,-0.86
2018-12-19,,,,
2018-12-20,,,,
